Rxn name	Formula	Gene-reaction association	LB	UB	Objective
ADSS	asp_DASH_L[c] + gtp[c] + imp[c]  -> dcamp[c] + gdp[c] + 2 h[c] + pi[c] 	(b4177)	  0.00	1000.00	  0.00
AGDC	acgam6p[c] + h2o[c]  -> ac[c] + gam6p[c] 	(b0677)	  0.00	1000.00	  0.00
AGMHE	adphep_DASH_DD[c]  -> adphep_DASH_LD[c] 	(b3619)	  0.00	1000.00	  0.00
AGMT	agm[c] + h2o[c]  -> ptrc[c] + urea[c] 	(b2937)	  0.00	1000.00	  0.00
AGPR	acg5sa[c] + nadp[c] + pi[c]  <=> acg5p[c] + h[c] + nadph[c] 	(b3958)	-1000.00	1000.00	  0.00
AHC	ahcys[c] + h2o[c]  <=> adn[c] + hcys_DASH_L[c] 		-1000.00	1000.00	  0.00
AHCYSNS	ahcys[c] + h2o[c]  -> ade[c] + rhcys[c] 	(b0159)	  0.00	1000.00	  0.00
AICART	10fthf[c] + aicar[c]  <=> fprica[c] + thf[c] 	(b4006)	-1000.00	1000.00	  0.00
AIRC2	air[c] + atp[c] + hco3[c]  -> 5caiz[c] + adp[c] + h[c] + pi[c] 	(b0522)	  0.00	1000.00	  0.00
AIRC3	5aizc[c]  <=> 5caiz[c] 	(b0523)	-1000.00	1000.00	  0.00
AKGDH	akg[c] + coa[c] + nad[c]  -> co2[c] + nadh[c] + succoa[c] 	((b0727) and (b0116) and (b0726))	  0.00	1000.00	  0.00
AKGt2r	akg[e] + h[e]  <=> akg[c] + h[c] 	(b2587)	-1000.00	1000.00	  0.00
ALAALAr	2 ala_DASH_D[c] + atp[c]  <=> adp[c] + alaala[c] + h[c] + pi[c] 	((b0381) or (b0092))	-1000.00	1000.00	  0.00
ALAR	ala_DASH_L[c]  <=> ala_DASH_D[c] 	(b4053)	-1000.00	1000.00	  0.00
ALARi	ala_DASH_L[c]  -> ala_DASH_D[c] 	(b1190)	  0.00	1000.00	  0.00
ALATA_D2	ala_DASH_D[c] + pydx5p[c]  -> pyam5p[c] + pyr[c] 	(b2551)	  0.00	1000.00	  0.00
ALATA_L	akg[c] + ala_DASH_L[c]  <=> glu_DASH_L[c] + pyr[c] 		-1000.00	1000.00	  0.00
ALATA_L2	ala_DASH_L[c] + pydx5p[c]  -> pyam5p[c] + pyr[c] 	(b2551)	  0.00	1000.00	  0.00
ALAabc	ala_DASH_L[e] + atp[c] + h2o[c]  -> adp[c] + ala_DASH_L[c] + h[c] + pi[c] 	((b3455) and (b3457) and (b3454) and (b3460) and (b3456))	  0.00	1000.00	  0.00
ALAt2r	ala_DASH_L[e] + h[e]  <=> ala_DASH_L[c] + h[c] 	((b0007) or (b4208))	-1000.00	1000.00	  0.00
ALCD19	glyald[c] + h[c] + nadh[c]  <=> glyc[c] + nad[c] 	(b0356)	-1000.00	1000.00	  0.00
ALDD19x	h2o[c] + nad[c] + pacald[c]  -> 2 h[c] + nadh[c] + pac[c] 	(b1385)	  0.00	1000.00	  0.00
